name,genre,time,year,country,lang,production bdget,domestic gross,world wide gross,rate,neto income
1,0.0,181.0,2019,66.0,21.0,400000000.0,858373000.0,2797800400.0,9.0,2397800400.0
2,1.0,136.0,2011,66.0,21.0,379000000.0,241071800.0,1045713800.0,5.4,666713800.0
3,0.0,141.0,2015,66.0,21.0,365000000.0,459005860.0,1395317000.0,8.3,1030317000.0
4,1.0,136.0,2015,66.0,21.0,306000000.0,936662200.0,2064615800.0,6.5,1758615800.0
5,0.0,156.0,2018,66.0,21.0,300000000.0,678815500.0,2048359800.0,9.1,1748359800.0
6,1.0,167.0,2007,66.0,21.0,300000000.0,309420400.0,960996500.0,9.5,660996500.0
7,0.0,121.0,2017,66.0,21.0,300000000.0,229024290.0,655945200.0,9.4,355945200.0
8,0.0,148.0,2015,65.0,21.0,300000000.0,200074180.0,879500740.0,5.0,579500740.0
9,1.0,142.0,2019,66.0,21.0,275000000.0,515202530.0,1072848500.0,8.6,797848500.0
10,1.0,135.0,2018,66.0,21.0,275000000.0,213767520.0,393151360.0,6.4,118151360.0
11,1.0,132.0,2012,66.0,4.0,263700000.0,73058680.0,282778100.0,6.0,19078100.0
12,0.0,151.0,2016,66.0,21.0,263000000.0,330360200.0,872395100.0,6.3,609395100.0
13,1.0,150.0,2017,66.0,21.0,262000000.0,620181400.0,1331635200.0,6.1,1069635200.0
14,1.0,118.0,2019,66.0,21.0,260000000.0,543638000.0,1654367500.0,9.3,1394367500.0
15,9.0,101.0,2010,66.0,21.0,260000000.0,200821940.0,584899840.0,8.7,324899840.0
16,1.0,139.0,2007,66.0,21.0,258000000.0,336530300.0,894860200.0,9.1,636860200.0
17,0.0,146.0,2016,66.0,21.0,250000000.0,408084350.0,1151918500.0,8.9,901918500.0
18,1.0,153.0,2009,65.0,21.0,250000000.0,302089280.0,929411100.0,8.4,679411100.0
19,1.0,201.0,2013,47.0,21.0,250000000.0,258241520.0,959358460.0,8.5,709358460.0
20,1.0,144.0,2014,47.0,21.0,250000000.0,255119790.0,940389570.0,7.4,690389570.0
21,0.0,136.0,2017,66.0,21.0,250000000.0,225764770.0,1236703700.0,7.2,986703700.0
22,0.0,163.0,2021,65.0,21.0,250000000.0,160891000.0,760839700.0,6.1,510839700.0
23,0.0,162.0,2009,66.0,21.0,237000000.0,760507650.0,2845899500.0,8.2,2608899500.0
24,1.0,150.0,2006,66.0,21.0,232000000.0,200120000.0,391081180.0,6.1,159081180.0
25,0.0,164.0,2012,66.0,21.0,230000000.0,448139100.0,1082228100.0,9.0,852228100.0
26,1.0,135.0,2017,66.0,21.0,230000000.0,172558880.0,794861800.0,6.0,564861800.0
27,0.0,106.0,2008,65.0,21.0,230000000.0,169368430.0,591692100.0,5.8,361692100.0
